,Meta,Meta,early Ana,Ana,late Ana,late Ana
Number,T0243.7,T0243.5,T0243.4,T0208.1,T0275_10,T0369_8
all,3662,3812,7011,3317,1511,1306
closer 250nm,1402,1038,6105,2675,1003,801
further,2260,2774,906,642,508,505
,,,,,,
,length,length,length,length,length,length
,1182.2812,6038.8887,1804.4742,1844.01,13805.801,17809.336
,1223.3303,4044.7859,1834.2667,1786.8755,3279.3481,16042.307
,1482.8655,4932.2344,1997.5938,1823.8777,5358.6216,1430.8358
,1318.7628,5243.2773,466.29453,1319.0306,3321.5425,13327.142
,770.65039,5675.1387,1672.2936,2977.2041,3660.8064,6918.4971
,2493.5391,2483.6606,789.69409,476.37378,12493.021,8276.1924
,1307.2422,8203.8525,1161.6174,2081.3413,7455.7637,2314.3901
,1371.8817,7738.2148,1543.5371,3150.645,7620.2036,3451.833
,1517.1708,3098.3711,2473.8669,778.26099,4327.189,8163.5107
,1138.6527,1501.0476,984.4632,1436.7771,10201.33,5433.7969
,2086.1292,2946.3787,854.53345,2021.2646,8980.0859,3788.7908
,2172.6526,2112.7888,750.18103,873.33813,2709.5938,3232.7427
,2215.8582,773.11768,2161.0488,2276.6987,9622.8252,9033.3545
,2087.6147,3753.4717,2152.1946,1397.1951,5033.2676,2330.8811
,1019.1943,3415.6533,4171.9175,2099.9834,5901.5566,6446.6973
,8862.8428,6021.04,3697.1677,1001.4938,8395.1143,3694.345
,6824.186,2230.2756,1834.7363,1560.9196,9649.9521,18301.445
,1100.4912,1028.434,1611.0815,1018.4763,3933.7935,5426.4043
,2243.6511,1373.7968,103.75298,1226.6108,3394.9175,7497.686
,944.23676,1070.9475,2085.459,1916.2797,18751.586,13129.269
,1971.4519,9230.542,1704.1875,1403.868,1596.7129,946.51953
,2748.2603,3297.783,1381.7076,1042.3976,5787.8657,3722.9873
,1831.7366,3038.885,7402.1211,921.80573,2150.4736,1802.4077
,1714.5511,2306.7805,3564.3037,1348.3447,9968.0547,7893.5449
,1795.0288,2613.5779,7087.6392,3678.9321,5381.7949,1461.3286
,1245.9756,1554.9402,3827.2229,1037.9236,2003.0762,1464.9657
,3160.1357,2268.252,2032.796,1308.3422,3717.5811,804.27325
,2057.3403,5770.8999,1974.7128,740.5365,1347.0308,8162.5596
,3465.5364,4212.7852,3894.6904,418.51819,5490.2495,3893.5295
,1349.9594,4017.6836,8963.8291,936.17084,942.76672,2064.6799
,1537.1663,1922.7124,2788.0603,1889.1431,5232.1245,2465.1685
,11624.038,1627.5999,1801.8281,1018.7697,5493.0747,14672.588
,2628.7471,10521.203,4377.0151,870.45203,16087.868,9042.9355
,2111.45,4408.7285,1430.3689,1808.692,8067.4121,874.78229
,3891.333,1792.1272,4724.2031,2429.9871,12892.351,2942.9204
,2080.3303,3486.217,1856.6521,1066.0699,7184.9629,6533.6304
,3698.0671,3057.2588,1031.1198,733.78577,3578.7573,5103.4028
,3257.394,7380.333,6455.4199,1068.4178,4529.751,838.33569
,2072.2842,5661.0605,2340.031,1837.1744,8092.0596,15237.419
,2722.1868,6248.1309,738.08203,1496.6276,2616.6841,7187.5083
,7014.4067,10336.055,3938.5005,1475.1158,4026.8167,3886.2178
,2048.4453,4112.5835,1175.6139,3671.4033,3815.0007,6225.1445
,7672.7656,2699.613,2285.9976,1288.4647,4705.1753,12900.032
,1527.4608,9972.7324,739.71313,1941.5525,7239.75,945.80414
,973.53662,1875.704,1686.8025,923.94592,6892.0591,2574.0039
,3721.196,1901.7316,3511.9456,2068.3193,8916.4092,14495.075
,1096.7874,951.60211,1379.4563,990.39691,21672.25,8819.2529
,1427.6592,2094.1694,1059.3621,1693.8865,8701.875,4241.0986
,2827.7783,1939.7,554.13885,1784.7136,3956.48,3658.1416
,1415.0989,3969.98,5406.0273,2131.541,2402.6301,2200.4268
,1081.3966,685.23376,8185.4688,1500.1788,2609.698,4255.501
,620.90942,3009.6086,4721.3506,2561.876,3505.126,2228.5459
,1436.7124,1698.8429,8525.6064,2889.3862,19388.402,3242.7925
,687.60449,4559.1982,4465.3477,3290.7188,18285.693,5703.4629
,403.33539,2149.2478,5954.5459,2544.2603,1526.0922,990.44025
,2269.1431,2972.3125,11099.265,1732.83,3827.9426,4867.0879
,4394.7974,1949.6133,2195.5593,1937.0923,11733.184,6704.2778
,1181.3857,1612.1189,1348.1434,1600.1865,4822.3081,2085.2075
,2253.5925,4037.3616,1399.6359,1109.6617,8634.0303,2710.8872
,1670.5923,4850.5693,1480.6764,1292.8182,3047.4551,1490.1733
,1302.7561,857.19507,12307.34,1182.8915,6376.2847,2847.3076
,1927.3231,1457.3147,1466.0255,1499.3932,2704.5068,547.53931
,4470.8271,1302.2465,1972.8989,1128.9399,8754.5693,3148.8252
,1264.6317,6684.6289,2894.6907,813.03796,3786.137,2718.1763
,1052.745,14448.182,12397.483,918.13599,5588.2178,3538.5818
,3184.4043,9037.1719,1127.4684,1754.1611,13115.904,11705.234
,2895.1729,2910.106,2167.0469,1418.1548,29359.416,2550.7869
,973.94067,3305.6401,603.82581,1271.9442,12420.806,21205.457
,1847.3246,3828.897,986.71545,587.22333,5206.3125,2243.3887
,1400.5193,249.1037,1337.6305,3644.1943,13092.662,1395.9716
,4628.5894,10400.866,5640.5312,2620.7273,4017.3945,13690.299
,31559.496,1676.6696,9921.4814,1723.6715,14914.71,5563.7803
